;Company;Product;Type_Name;Inches;Screen_Resolution;Cpu;RAM;Memory;GPU;OS;Weight;Price
671;HP;15-ay047nv (i3-6006U/6GB/1TB/Radeon;Notebook;15.6;1920x1080;Intel Core i3 6006U 2GHz;6GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.04kg;539.00 EUR
672;MSI;GP72VR Leopard;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1 486.77 EUR
673;Toshiba;Satellite Pro;Notebook;15.6;1366x768;Intel Core i3 6100U 2.1GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;498.00 EUR
674;Dell;Latitude 3580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.06kg;955.00 EUR
675;HP;15-bs012nv (i7-7500U/8GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;2.1kg;745.00 EUR
676;Toshiba;Tecra Z50-D-10E;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;1 258.00 EUR
677;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Linux;2.1kg;412.00 EUR
678;Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.252kg;1 867.85 EUR
679;Lenovo;V310-15ISK (i5-7200U/8GB/1TB;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon R5 M430;Windows 10;1.90kg;817.95 EUR
680;Lenovo;Yoga 720-13IKB;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;1 034.00 EUR
681;Lenovo;IdeaPad 320-15AST;Notebook;15.6;1366x768;AMD E-Series E2-9000 2.2GHz;4GB;128GB SSD;AMD Radeon R2 Graphics;Windows 10;2.2kg;349.00 EUR
682;HP;Pavilion X360;2 in 1 Convertible;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Nvidia GeForce 940MX;Windows 10;1.63kg;699.00 EUR
683;MSI;GP62 7RDX;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;1 294.00 EUR
684;Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1 135.00 EUR
685;HP;Chromebook X360;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;8GB;64GB Flash Storage;Intel HD Graphics 500;Chrome OS;1.4kg;495.00 EUR
686;LG;Gram 15Z975;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.09kg;2 299.00 EUR
687;Acer;Aspire VX5-591G;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1 299.00 EUR
688;MSI;GV62M 7RD;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;997.90 EUR
689;Asus;L502NA-GO052T (N3350/4GB/128GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.86kg;419.00 EUR
690;Dell;Alienware 15;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.21kg;2 051.00 EUR
691;HP;17-bs000nv I3;Notebook;17.3;IPS Panel Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 520;Windows 10;2.5kg;699.00 EUR
692;Lenovo;Yoga 730;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.19kg;1 499.00 EUR
693;Dell;Alienware 15;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.49kg;2 813.75 EUR
694;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;612.61 EUR
695;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;545.67 EUR
696;HP;17-Y002nv (A10-9600P/6GB/2TB/Radeon;Notebook;17.3;IPS Panel Full HD 1920x1080;AMD A10-Series 9600P 2.4GHz;6GB;2TB HDD;AMD Radeon R7 M440;Windows 10;2.65kg;569.00 EUR
697;Lenovo;V110-15ISK (3855U/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 510;Windows 10;2.1kg;318.00 EUR
698;Acer;Chromebook 14;Notebook;14;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;375.00 EUR
699;Lenovo;IdeaPad 520s-14IKB;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;699.00 EUR
700;HP;ZBook 17;Workstation;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;500GB HDD;Nvidia Quadro M1200;Windows 10;3.14kg;1 907.99 EUR
701;Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2 590.00 EUR
702;Toshiba;Satellite Pro;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;973.00 EUR
703;Acer;TravelMate B117-M;Netbook;11.6;1366x768;Intel Celeron Dual Core N3050 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.4kg;269.00 EUR
704;Lenovo;Yoga 910-13IKB;2 in 1 Convertible;14;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.38kg;1 749.00 EUR
705;Asus;Chromebook Flip;2 in 1 Convertible;12.5;Full HD / Touchscreen 1920x1080;Intel Core M M3-6Y30 0.9GHz;4GB;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2kg;669.00 EUR
706;Toshiba;Portege Z30T-C-133;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.36kg;1 877.00 EUR
707;HP;15-bs011nv (i7-7500U/4GB/500GB/Radeon;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.1kg;689.00 EUR
708;Dell;Inspiron 5577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;819.00 EUR
709;Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 2.9GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;399.00 EUR
710;Lenovo;IdeaPad 320-15ABR;Notebook;15.6;1366x768;AMD A12-Series 9720P 3.6GHz;8GB;1TB HDD;AMD Radeon R7;Windows 10;2.2kg;429.00 EUR
711;Lenovo;V310-15IKB (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD +  1TB HDD;Intel HD Graphics 620;Windows 10;2.1kg;621.45 EUR
712;Lenovo;V310-15ISK (i3-6006U/4GB/500GB/No;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.90kg;450.00 EUR
713;Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;795.00 EUR
714;Acer;Spin 5;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;999.00 EUR
715;Lenovo;ThinkPad P51s;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia Quadro M520M;Windows 7;2.18kg;1 855.00 EUR
716;Lenovo;Thinkpad T460p;Notebook;14;Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;1 191.00 EUR
717;HP;17-ak002nv (A10-9620P/6GB/2TB/Radeon;Notebook;17.3;IPS Panel Full HD 1920x1080;AMD A10-Series 9620P 2.5GHz;6GB;2TB HDD;AMD Radeon 530;Windows 10;2.71kg;655.01 EUR
718;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1 249.00 EUR
719;Dell;Latitude 5480;Notebook;14;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Linux;1.64kg;1 089.00 EUR
720;Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Linux;1.98kg;726.00 EUR
721;Asus;VivoBook E403NA;Notebook;14;Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;298.00 EUR
722;Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.93kg;1 426.66 EUR
723;Lenovo;Thinkpad E470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 920MX;Windows 10;1.87kg;857.07 EUR
724;Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;1 179.00 EUR
725;Lenovo;110-15ACL (A6-7310/4GB/500GB/W10);Notebook;15.6;1366x768;AMD A6-Series 7310 2GHz;4GB;500GB HDD;AMD Radeon R4;Windows 10;2.19kg;298.00 EUR
726;Mediacom;Smartbook 142;Notebook;14;IPS Panel Full HD 1920x1200;Intel Atom Z8350 1.92GHz;4GB;32GB HDD;Intel HD Graphics 400;Windows 10;1.4kg;265.00 EUR
727;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1 200.00 EUR
728;Lenovo;ThinkPad X1;Ultrabook;14;IPS Panel Quad HD+ 2560x1440;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.17kg;1 686.64 EUR
729;HP;Pavilion X360;2 in 1 Convertible;13.3;IPS Panel Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58kg;836.60 EUR
730;Lenovo;ThinkPad T470s;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1 499.00 EUR
731;Dell;Alienware 17;Gaming;17.3;4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.36kg;3 659.40 EUR
732;MSI;GL72M 7REX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1 348.48 EUR
733;Lenovo;V310-15IKB (i5-7200U/4GB/1TB/No;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;No OS;1.9kg;489.90 EUR
734;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.2kg;719.00 EUR
735;Dell;Inspiron 5378;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.71kg;649.00 EUR
736;Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Linux;2.32kg;589.52 EUR
737;HP;15-BW037na (A9-9420/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;489.00 EUR
738;Acer;Predator 17;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2kg;1 935.00 EUR
739;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.25kg;649.00 EUR
740;HP;15-BW091ND (A9-9420/6GB/1TB;Notebook;15.6;Full HD 1920x1080;AMD A9-Series A9-9420 3GHz;6GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;650.00 EUR
741;Acer;Extensa EX2540-58KR;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.4kg;559.00 EUR
742;Lenovo;ThinkPad 13;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;960.00 EUR
743;Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.85kg;779.00 EUR
744;HP;ZBook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia Quadro M2200;Windows 10;2.6kg;2 419.00 EUR
745;Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.55kg;659.00 EUR
746;MSI;GS63VR 7RF;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;2 094.48 EUR
747;Acer;Aspire ES1-572;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.4kg;410.80 EUR
748;Dell;Inspiron 7560;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.0kg;1 207.00 EUR
749;Dell;Vostro 3568;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2kg;665.00 EUR
750;Toshiba;Tecra X40-D-10G;Notebook;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1 535.00 EUR
751;Lenovo;Flex 5;2 in 1 Convertible;14;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;999.00 EUR
752;Lenovo;Thinkpad P51s;Workstation;15.6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16GB;1TB SSD;Nvidia Quadro M520M;Windows 10;2.5kg;3 299.00 EUR
753;Acer;Chromebook 14;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.68kg;330.00 EUR
754;Samsung;Notebook 9;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;0.81kg;1 649.00 EUR
755;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.86kg;539.00 EUR
757;Dell;Latitude 5480;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1 126.71 EUR
758;HP;Zbook 17;Workstation;17.3;IPS Panel Full HD 1920x1080;Intel Xeon E3-1535M v5 2.9GHz;16GB;256GB SSD;Nvidia Quadro M2000M;Windows 7;3kg;4 389.00 EUR
759;Lenovo;N23 (N3060/4GB/128GB/W10);Netbook;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;128GB SSD;Intel HD Graphics 400;Windows 10;1.4kg;475.00 EUR
760;HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1 900.00 EUR
761;Asus;X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce;Notebook;15.6;1366x768;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;No OS;2.45kg;579.00 EUR
762;Lenovo;Thinkpad T460;Ultrabook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;180GB SSD;Intel HD Graphics 520;Windows 10;1.7kg;1 096.00 EUR
763;Asus;Pro P2540UA-XO0192R;Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.37kg;849.90 EUR
764;Lenovo;Yoga 900-13ISK;2 in 1 Convertible;13.3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i5 6260U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 540;Windows 10;1.3kg;1 199.00 EUR
765;HP;15-cb003na (i5-7300HQ/8GB/1TB;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1 099.00 EUR
766;HP;ZBook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia Quadro M1000M;Windows 7;2.59kg;1 561.00 EUR
767;Dell;Alienware 17;Gaming;15.6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2 868.99 EUR
768;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.1kg;599.00 EUR
769;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;1 048.00 EUR
770;Dell;Latitude 7280;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.18kg;1 859.00 EUR
771;Google;Pixelbook (Core;Ultrabook;12.3;Touchscreen 2400x1600;Intel Core i5 7Y57 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;1 559.00 EUR
772;Asus;Zenbook UX330UA-AH5Q;Ultrabook;13.3;IPS Panel Quad HD+ 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.2kg;1 129.00 EUR
773;Dell;Latitude 3380;Notebook;13.3;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.65kg;849.00 EUR
774;Acer;TravelMate P238-M;Notebook;13.3;1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;655.00 EUR
775;Asus;X751NV-TY001 (N4200/4GB/1TB/GeForce;Notebook;17.3;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;470.34 EUR
776;Dell;Inspiron 7559;Gaming;15.6;IPS Panel Touchscreen / 4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.72kg;1 099.00 EUR
777;Samsung;Notebook 9;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.31kg;1 599.00 EUR
778;Acer;Aspire A315-31;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Linux;2.1kg;298.00 EUR
779;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.3kg;1 181.27 EUR
780;Samsung;Notebook 9;2 in 1 Convertible;15;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon 540;Windows 10;1.71kg;1 799.00 EUR
781;Toshiba;Tecra A40-C-1E5;Notebook;14;IPS Panel 1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.75kg;1 020.00 EUR
782;Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;1 099.00 EUR
783;HP;EliteBook 820;Ultrabook;12.5;1366x768;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1 244.00 EUR
784;Asus;Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce;2 in 1 Convertible;15.6;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;2TB HDD;Nvidia GeForce 940MX;Windows 10;2.3kg;839.00 EUR
785;Lenovo;Thinkpad P50;Notebook;15.6;4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro M2000M;Windows 7;2.5kg;2 370.00 EUR
786;Acer;Swift 3;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.8kg;636.00 EUR
787;Razer;Blade Pro;Gaming;14;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95kg;2 899.00 EUR
788;Asus;Vivobook Max;Notebook;15.6;1920x1080;Intel Pentium Dual Core N4200 1.1GHz;8GB;128GB SSD;Intel HD Graphics 505;Windows 10;2kg;581.90 EUR
789;Dell;Alienware 17;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070M;Windows 10;4.42kg;3 588.80 EUR
790;Asus;Rog G752VS-BA171T;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.3kg;2 350.00 EUR
791;Toshiba;Tecra Z40-C-161;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;16GB;512GB SSD;Nvidia GeForce 930M;Windows 10;1.47kg;1 764.00 EUR
792;Lenovo;IdeaPad 110-15IBR;Notebook;15.6;1366x768;Intel Celeron Quad Core N3710 1.6GHz;8GB;1TB HDD;Intel HD Graphics 405;No OS;2.2kg;329.00 EUR
793;Lenovo;ThinkPad T470s;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;2 299.00 EUR
794;MSI;GS43VR 7RE;Gaming;14;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.6kg;1 891.00 EUR
795;MSI;GL62M (i5-7300HQ/8GB/1TB;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1 089.00 EUR
796;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;4GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;999.00 EUR
797;Acer;Predator G9-793;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2kg;2 299.00 EUR
798;Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;985.00 EUR
799;Asus;FX502VM-DM560T (i7-7700HQ/8GB/1TB;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX1060;Windows 10;2.24kg;1 339.00 EUR
800;Vero;K146 (N3350/4GB/32GB/W10);Notebook;14;1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.22kg;202.90 EUR
801;Lenovo;ThinkPad Yoga;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1 970.00 EUR
